sentence_id,template_id,sentence,board_state,x_count,x_positions,o_count,o_positions
297,5,"X marks the bottom-center, the bottom-left, and the middle-left, O marks the top-left, the top-center, and the center",O|O|_|X|O|_|X|X|_,3,"bottom-center, bottom-left, middle-left",3,"top-left, top-center, center"
298,3,"X occupies the top-center, the bottom-center, the top-right, and the top-left, O occupies the bottom-left, the bottom-right, the middle-right, and the center",X|X|X|_|O|O|O|X|O,4,"top-center, bottom-center, top-right, top-left",4,"bottom-left, bottom-right, middle-right, center"
299,4,"X is placed in the bottom-left, O is placed in the middle-right",_|_|_|_|_|O|X|_|_,1,bottom-left,1,middle-right
300,2,"X has played in the middle-right, the bottom-right, the top-right, and the center, O has played in the middle-left, the top-left, the top-center, and the bottom-center",O|O|X|O|X|X|_|O|X,4,"middle-right, bottom-right, top-right, center",4,"middle-left, top-left, top-center, bottom-center"
301,1,"X is in the bottom-left, the middle-right, the bottom-right, and the top-left, O is in the center, the middle-left, the top-right, and the bottom-center",X|_|O|O|O|X|X|O|X,4,"bottom-left, middle-right, bottom-right, top-left",4,"center, middle-left, top-right, bottom-center"
302,4,"X is placed in the bottom-center, the center, the middle-right, and the top-right, O is placed in the middle-left, the top-left, the bottom-left, and the bottom-right",O|_|X|O|X|X|O|X|O,4,"bottom-center, center, middle-right, top-right",4,"middle-left, top-left, bottom-left, bottom-right"
303,5,"X marks the top-right and bottom-right, O marks the middle-left and bottom-center",_|_|X|O|_|_|_|O|X,2,"top-right, bottom-right",2,"middle-left, bottom-center"
304,2,"X has played in the top-center, the middle-left, the top-right, and the bottom-left, O has played in the middle-right, the top-left, and the bottom-right",O|X|X|X|_|O|X|_|O,4,"top-center, middle-left, top-right, bottom-left",3,"middle-right, top-left, bottom-right"
305,5,"X marks the middle-left, the middle-right, the bottom-center, and the top-right, O marks the top-left, the top-center, and the bottom-left",O|O|X|X|_|X|O|X|_,4,"middle-left, middle-right, bottom-center, top-right",3,"top-left, top-center, bottom-left"
306,5,"X marks the middle-left, the middle-right, and the top-left, O marks the bottom-right, the top-right, and the bottom-left",X|_|O|X|_|X|O|_|O,3,"middle-left, middle-right, top-left",3,"bottom-right, top-right, bottom-left"
307,5,"X marks the middle-right, the top-center, the top-right, the top-left, and the bottom-left, O marks the center, the bottom-right, the middle-left, and the bottom-center",X|X|X|O|O|X|X|O|O,5,"middle-right, top-center, top-right, top-left, bottom-left",4,"center, bottom-right, middle-left, bottom-center"
308,1,"X is in the bottom-left, the bottom-center, and the top-left, O is in the center and top-right",X|_|O|_|O|_|X|X|_,3,"bottom-left, bottom-center, top-left",2,"center, top-right"
309,2,"X has played in the top-left, the middle-right, and the bottom-right, O has played in the top-center, the center, and the bottom-left",X|O|_|_|O|X|O|_|X,3,"top-left, middle-right, bottom-right",3,"top-center, center, bottom-left"
310,5,"X marks the top-center, the bottom-center, and the top-right, O marks the middle-right and bottom-right",_|X|X|_|_|O|_|X|O,3,"top-center, bottom-center, top-right",2,"middle-right, bottom-right"
311,5,"X marks the bottom-right, O marks the top-left",O|_|_|_|_|_|_|_|X,1,bottom-right,1,top-left
312,4,"X is placed in the center, the middle-left, and the bottom-left, O is placed in the top-right, the bottom-right, and the top-left",O|_|O|X|X|_|X|_|O,3,"center, middle-left, bottom-left",3,"top-right, bottom-right, top-left"
313,5,"X marks the bottom-right, the top-right, and the middle-right, O marks the center, the bottom-center, and the top-center",_|O|X|_|O|X|_|O|X,3,"bottom-right, top-right, middle-right",3,"center, bottom-center, top-center"
314,2,"X has played in the top-right, the top-left, the bottom-center, and the middle-right, O has played in the center, the top-center, the middle-left, and the bottom-right",X|O|X|O|O|X|_|X|O,4,"top-right, top-left, bottom-center, middle-right",4,"center, top-center, middle-left, bottom-right"
315,3,"X occupies the middle-right, the top-center, and the bottom-left, O occupies the bottom-right, the middle-left, and the center",_|X|_|O|O|X|X|_|O,3,"middle-right, top-center, bottom-left",3,"bottom-right, middle-left, center"
316,2,"X has played in the middle-right, the bottom-right, the top-left, and the top-center, O has played in the middle-left, the bottom-left, and the top-right",X|X|O|O|_|X|O|_|X,4,"middle-right, bottom-right, top-left, top-center",3,"middle-left, bottom-left, top-right"
317,1,"X is in the middle-right and center, O is in the bottom-left",_|_|_|_|X|X|O|_|_,2,"middle-right, center",1,bottom-left
318,4,"X is placed in the bottom-left and top-right, O is placed in the bottom-center and middle-left",_|_|X|O|_|_|X|O|_,2,"bottom-left, top-right",2,"bottom-center, middle-left"
319,3,"X occupies the center, the bottom-center, and the middle-right, O occupies the top-left, the middle-left, and the top-right",O|_|O|O|X|X|_|X|_,3,"center, bottom-center, middle-right",3,"top-left, middle-left, top-right"
320,3,"X occupies the top-center, the bottom-left, the middle-left, and the bottom-center, O occupies the middle-right, the center, the bottom-right, and the top-right",_|X|O|X|O|O|X|X|O,4,"top-center, bottom-left, middle-left, bottom-center",4,"middle-right, center, bottom-right, top-right"
321,1,"X is in the bottom-left, the center, the top-center, the bottom-center, and the bottom-right, O is in the middle-right, the top-right, the middle-left, and the top-left",O|X|O|O|X|O|X|X|X,5,"bottom-left, center, top-center, bottom-center, bottom-right",4,"middle-right, top-right, middle-left, top-left"
322,4,"X is placed in the top-right, O is placed in none",_|_|X|_|_|_|_|_|_,1,top-right,0,
323,1,"X is in the bottom-left, the middle-left, and the bottom-center, O is in the top-right, the top-left, and the middle-right",O|_|O|X|_|O|X|X|_,3,"bottom-left, middle-left, bottom-center",3,"top-right, top-left, middle-right"
324,1,"X is in the bottom-right, the top-center, the middle-left, and the middle-right, O is in the top-left, the center, the top-right, and the bottom-center",O|X|O|X|O|X|_|O|X,4,"bottom-right, top-center, middle-left, middle-right",4,"top-left, center, top-right, bottom-center"
325,1,"X is in the top-center, the middle-left, the bottom-right, and the top-right, O is in the bottom-center, the bottom-left, and the center",_|X|X|X|O|_|O|O|X,4,"top-center, middle-left, bottom-right, top-right",3,"bottom-center, bottom-left, center"
326,5,"X marks the top-left, the middle-left, and the top-center, O marks the bottom-center, the top-right, and the bottom-right",X|X|O|X|_|_|_|O|O,3,"top-left, middle-left, top-center",3,"bottom-center, top-right, bottom-right"
327,3,"X occupies the middle-left, the bottom-left, and the bottom-right, O occupies the middle-right and top-right",_|_|O|X|_|O|X|_|X,3,"middle-left, bottom-left, bottom-right",2,"middle-right, top-right"
328,3,"X occupies the bottom-center, the top-right, the bottom-left, the middle-left, and the top-left, O occupies the middle-right, the top-center, the center, and the bottom-right",X|O|X|X|O|O|X|X|O,5,"bottom-center, top-right, bottom-left, middle-left, top-left",4,"middle-right, top-center, center, bottom-right"
329,5,"X marks the center and top-left, O marks the top-center and middle-right",X|O|_|_|X|O|_|_|_,2,"center, top-left",2,"top-center, middle-right"
330,4,"X is placed in the bottom-left, the top-center, the top-left, and the top-right, O is placed in the middle-right, the bottom-right, and the center",X|X|X|_|O|O|X|_|O,4,"bottom-left, top-center, top-left, top-right",3,"middle-right, bottom-right, center"
331,5,"X marks the top-center, the top-left, and the middle-left, O marks the top-right and center",X|X|O|X|O|_|_|_|_,3,"top-center, top-left, middle-left",2,"top-right, center"
332,3,"X occupies the bottom-center, the top-right, the center, and the middle-right, O occupies the top-center, the bottom-right, the bottom-left, and the top-left",O|O|X|_|X|X|O|X|O,4,"bottom-center, top-right, center, middle-right",4,"top-center, bottom-right, bottom-left, top-left"
333,5,"X marks the bottom-left, the bottom-right, the top-right, the top-left, and the middle-right, O marks the middle-left, the center, the top-center, and the bottom-center",X|O|X|O|O|X|X|O|X,5,"bottom-left, bottom-right, top-right, top-left, middle-right",4,"middle-left, center, top-center, bottom-center"
334,4,"X is placed in the bottom-center, the bottom-right, the bottom-left, and the middle-right, O is placed in the center, the top-center, the middle-left, and the top-right",_|O|O|O|O|X|X|X|X,4,"bottom-center, bottom-right, bottom-left, middle-right",4,"center, top-center, middle-left, top-right"
335,1,"X is in the top-right, the bottom-center, the top-center, and the bottom-left, O is in the middle-right, the top-left, and the center",O|X|X|_|O|O|X|X|_,4,"top-right, bottom-center, top-center, bottom-left",3,"middle-right, top-left, center"
336,1,"X is in the bottom-center, O is in the bottom-right",_|_|_|_|_|_|_|X|O,1,bottom-center,1,bottom-right
337,3,"X occupies the top-left and top-right, O occupies the middle-left",X|_|X|O|_|_|_|_|_,2,"top-left, top-right",1,middle-left
338,4,"X is placed in the middle-left and center, O is placed in the middle-right and top-center",_|O|_|X|X|O|_|_|_,2,"middle-left, center",2,"middle-right, top-center"
339,3,"X occupies the middle-left, the top-left, the bottom-right, and the bottom-left, O occupies the middle-right, the center, and the top-center",X|O|_|X|O|O|X|_|X,4,"middle-left, top-left, bottom-right, bottom-left",3,"middle-right, center, top-center"
340,4,"X is placed in the top-left, the top-right, and the top-center, O is placed in the middle-right, the bottom-center, and the bottom-left",X|X|X|_|_|O|O|O|_,3,"top-left, top-right, top-center",3,"middle-right, bottom-center, bottom-left"
341,4,"X is placed in the bottom-left and top-center, O is placed in the top-right and bottom-right",_|X|O|_|_|_|X|_|O,2,"bottom-left, top-center",2,"top-right, bottom-right"
342,4,"X is placed in the center and bottom-right, O is placed in the top-right",_|_|O|_|X|_|_|_|X,2,"center, bottom-right",1,top-right
343,2,"X has played in the top-left and top-center, O has played in the middle-left and top-right",X|X|O|O|_|_|_|_|_,2,"top-left, top-center",2,"middle-left, top-right"
344,3,"X occupies the center and bottom-center, O occupies the bottom-right",_|_|_|_|X|_|_|X|O,2,"center, bottom-center",1,bottom-right
345,1,"X is in the top-right and middle-left, O is in the middle-right and bottom-left",_|_|X|X|_|O|O|_|_,2,"top-right, middle-left",2,"middle-right, bottom-left"
346,5,"X marks the top-left and center, O marks the bottom-center",X|_|_|_|X|_|_|O|_,2,"top-left, center",1,bottom-center
347,3,"X occupies the bottom-center, the bottom-right, the top-right, and the top-left, O occupies the bottom-left, the center, and the middle-left",X|_|X|O|O|_|O|X|X,4,"bottom-center, bottom-right, top-right, top-left",3,"bottom-left, center, middle-left"
348,5,"X marks the bottom-left and middle-left, O marks the top-left and bottom-right",O|_|_|X|_|_|X|_|O,2,"bottom-left, middle-left",2,"top-left, bottom-right"
349,3,"X occupies the middle-right and middle-left, O occupies the top-right",_|_|O|X|_|X|_|_|_,2,"middle-right, middle-left",1,top-right
350,4,"X is placed in the top-left and middle-right, O is placed in the center and top-center",X|O|_|_|O|X|_|_|_,2,"top-left, middle-right",2,"center, top-center"
351,1,"X is in the bottom-right, the top-left, the top-right, and the top-center, O is in the bottom-center, the bottom-left, and the middle-left",X|X|X|O|_|_|O|O|X,4,"bottom-right, top-left, top-right, top-center",3,"bottom-center, bottom-left, middle-left"
352,2,"X has played in the top-left, the top-right, the middle-left, the bottom-right, and the middle-right, O has played in the bottom-center, the top-center, the center, and the bottom-left",X|O|X|X|O|X|O|O|X,5,"top-left, top-right, middle-left, bottom-right, middle-right",4,"bottom-center, top-center, center, bottom-left"
353,3,"X occupies the top-center, the bottom-left, and the center, O occupies the top-left and middle-left",O|X|_|O|X|_|X|_|_,3,"top-center, bottom-left, center",2,"top-left, middle-left"
354,2,"X has played in the middle-right and middle-left, O has played in the top-center",_|O|_|X|_|X|_|_|_,2,"middle-right, middle-left",1,top-center
355,2,"X has played in the center, the middle-right, the top-left, and the middle-left, O has played in the top-center, the bottom-right, the top-right, and the bottom-left",X|O|O|X|X|X|O|_|O,4,"center, middle-right, top-left, middle-left",4,"top-center, bottom-right, top-right, bottom-left"
356,5,"X marks the top-center, the middle-right, and the bottom-right, O marks the bottom-center, the center, and the top-left",O|X|_|_|O|X|_|O|X,3,"top-center, middle-right, bottom-right",3,"bottom-center, center, top-left"
357,2,"X has played in the bottom-right, the top-right, and the bottom-left, O has played in the center, the top-center, and the middle-left",_|O|X|O|O|_|X|_|X,3,"bottom-right, top-right, bottom-left",3,"center, top-center, middle-left"
358,5,"X marks the center, O marks none",_|_|_|_|X|_|_|_|_,1,center,0,
359,1,"X is in the top-right, the bottom-right, the middle-left, and the top-left, O is in the center, the bottom-center, the bottom-left, and the middle-right",X|_|X|X|O|O|O|O|X,4,"top-right, bottom-right, middle-left, top-left",4,"center, bottom-center, bottom-left, middle-right"
360,1,"X is in the middle-right, the top-right, and the top-left, O is in the bottom-right, the top-center, and the bottom-center",X|O|X|_|_|X|_|O|O,3,"middle-right, top-right, top-left",3,"bottom-right, top-center, bottom-center"
361,5,"X marks the top-left and top-right, O marks the bottom-right and middle-left",X|_|X|O|_|_|_|_|O,2,"top-left, top-right",2,"bottom-right, middle-left"
362,2,"X has played in the top-right, the top-center, and the center, O has played in the middle-right, the bottom-right, and the bottom-left",_|X|X|_|X|O|O|_|O,3,"top-right, top-center, center",3,"middle-right, bottom-right, bottom-left"
363,2,"X has played in the top-left, the top-center, and the bottom-left, O has played in the top-right, the middle-left, and the bottom-right",X|X|O|O|_|_|X|_|O,3,"top-left, top-center, bottom-left",3,"top-right, middle-left, bottom-right"
364,4,"X is placed in the bottom-left and middle-right, O is placed in the top-left and bottom-right",O|_|_|_|_|X|X|_|O,2,"bottom-left, middle-right",2,"top-left, bottom-right"
365,4,"X is placed in the bottom-center and middle-right, O is placed in the middle-left and top-right",_|_|O|O|_|X|_|X|_,2,"bottom-center, middle-right",2,"middle-left, top-right"
366,2,"X has played in the top-left, the bottom-left, the bottom-right, and the top-right, O has played in the center, the bottom-center, and the middle-right",X|_|X|_|O|O|X|O|X,4,"top-left, bottom-left, bottom-right, top-right",3,"center, bottom-center, middle-right"
367,1,"X is in the bottom-right, the top-left, the top-right, and the middle-right, O is in the middle-left, the top-center, and the bottom-left",X|O|X|O|_|X|O|_|X,4,"bottom-right, top-left, top-right, middle-right",3,"middle-left, top-center, bottom-left"
368,4,"X is placed in the middle-left, the bottom-center, the middle-right, the top-center, and the center, O is placed in the top-left, the bottom-left, the bottom-right, and the top-right",O|X|O|X|X|X|O|X|O,5,"middle-left, bottom-center, middle-right, top-center, center",4,"top-left, bottom-left, bottom-right, top-right"
369,4,"X is placed in the bottom-right, the center, and the middle-right, O is placed in the bottom-left, the top-center, and the bottom-center",_|O|_|_|X|X|O|O|X,3,"bottom-right, center, middle-right",3,"bottom-left, top-center, bottom-center"
370,2,"X has played in the bottom-left, the center, the bottom-center, and the top-center, O has played in the top-right, the middle-right, and the top-left",O|X|O|_|X|O|X|X|_,4,"bottom-left, center, bottom-center, top-center",3,"top-right, middle-right, top-left"
371,2,"X has played in the top-right and bottom-left, O has played in the top-center",_|O|X|_|_|_|X|_|_,2,"top-right, bottom-left",1,top-center
372,1,"X is in the middle-left, O is in none",_|_|_|X|_|_|_|_|_,1,middle-left,0,
373,1,"X is in the middle-right and center, O is in the bottom-center",_|_|_|_|X|X|_|O|_,2,"middle-right, center",1,bottom-center
374,5,"X marks the middle-left, the top-center, and the top-right, O marks the bottom-left and bottom-center",_|X|X|X|_|_|O|O|_,3,"middle-left, top-center, top-right",2,"bottom-left, bottom-center"
375,3,"X occupies the center, the bottom-left, the top-left, and the middle-left, O occupies the top-right, the bottom-center, and the top-center",X|O|O|X|X|_|X|O|_,4,"center, bottom-left, top-left, middle-left",3,"top-right, bottom-center, top-center"
376,2,"X has played in the bottom-right, the middle-right, the middle-left, the top-center, and the top-right, O has played in the center, the top-left, the bottom-center, and the bottom-left",O|X|X|X|O|X|O|O|X,5,"bottom-right, middle-right, middle-left, top-center, top-right",4,"center, top-left, bottom-center, bottom-left"
377,1,"X is in the middle-right, O is in the top-left",O|_|_|_|_|X|_|_|_,1,middle-right,1,top-left
378,1,"X is in the middle-right and bottom-right, O is in the bottom-center",_|_|_|_|_|X|_|O|X,2,"middle-right, bottom-right",1,bottom-center
379,4,"X is placed in the bottom-center, the top-left, and the middle-right, O is placed in the middle-left, the center, and the bottom-left",X|_|_|O|O|X|O|X|_,3,"bottom-center, top-left, middle-right",3,"middle-left, center, bottom-left"
380,1,"X is in the bottom-right, O is in none",_|_|_|_|_|_|_|_|X,1,bottom-right,0,
381,3,"X occupies the middle-right, O occupies the bottom-left",_|_|_|_|_|X|O|_|_,1,middle-right,1,bottom-left
382,2,"X has played in the center, the middle-left, and the bottom-right, O has played in the middle-right, the bottom-left, and the bottom-center",_|_|_|X|X|O|O|O|X,3,"center, middle-left, bottom-right",3,"middle-right, bottom-left, bottom-center"
383,1,"X is in the middle-right, O is in the top-right",_|_|O|_|_|X|_|_|_,1,middle-right,1,top-right
384,2,"X has played in the middle-right, O has played in the bottom-left",_|_|_|_|_|X|O|_|_,1,middle-right,1,bottom-left
385,3,"X occupies the top-right and bottom-right, O occupies the center and bottom-left",_|_|X|_|O|_|O|_|X,2,"top-right, bottom-right",2,"center, bottom-left"
386,3,"X occupies the bottom-left, the top-right, and the top-left, O occupies the bottom-center, the top-center, and the bottom-right",X|O|X|_|_|_|X|O|O,3,"bottom-left, top-right, top-left",3,"bottom-center, top-center, bottom-right"
387,1,"X is in the middle-left, the top-right, the bottom-left, the middle-right, and the top-left, O is in the bottom-right, the bottom-center, the center, and the top-center",X|O|X|X|O|X|X|O|O,5,"middle-left, top-right, bottom-left, middle-right, top-left",4,"bottom-right, bottom-center, center, top-center"
388,4,"X is placed in the top-center, the bottom-left, the bottom-right, the top-left, and the middle-right, O is placed in the middle-left, the top-right, the bottom-center, and the center",X|X|O|O|O|X|X|O|X,5,"top-center, bottom-left, bottom-right, top-left, middle-right",4,"middle-left, top-right, bottom-center, center"
389,2,"X has played in the top-center, the center, the bottom-right, and the middle-left, O has played in the middle-right, the bottom-center, and the top-right",_|X|O|X|X|O|_|O|X,4,"top-center, center, bottom-right, middle-left",3,"middle-right, bottom-center, top-right"
390,5,"X marks the bottom-right, the top-left, the top-center, the top-right, and the center, O marks the middle-left, the bottom-center, the bottom-left, and the middle-right",X|X|X|O|X|O|O|O|X,5,"bottom-right, top-left, top-center, top-right, center",4,"middle-left, bottom-center, bottom-left, middle-right"
391,1,"X is in the bottom-left, the top-left, and the top-center, O is in the top-right, the bottom-center, and the middle-left",X|X|O|O|_|_|X|O|_,3,"bottom-left, top-left, top-center",3,"top-right, bottom-center, middle-left"
392,2,"X has played in the top-right, O has played in the center",_|_|X|_|O|_|_|_|_,1,top-right,1,center
393,4,"X is placed in the top-left, O is placed in the center",X|_|_|_|O|_|_|_|_,1,top-left,1,center
394,4,"X is placed in the bottom-left, the middle-left, and the bottom-center, O is placed in the top-center and top-right",_|O|O|X|_|_|X|X|_,3,"bottom-left, middle-left, bottom-center",2,"top-center, top-right"
395,5,"X marks the middle-right, the bottom-right, the middle-left, the top-right, and the top-center, O marks the top-left, the center, the bottom-left, and the bottom-center",O|X|X|X|O|X|O|O|X,5,"middle-right, bottom-right, middle-left, top-right, top-center",4,"top-left, center, bottom-left, bottom-center"
396,4,"X is placed in the bottom-left, O is placed in the top-left",O|_|_|_|_|_|X|_|_,1,bottom-left,1,top-left
397,3,"X occupies the bottom-left and top-center, O occupies the top-right",_|X|O|_|_|_|X|_|_,2,"bottom-left, top-center",1,top-right
398,1,"X is in the top-right, the top-left, the middle-left, and the middle-right, O is in the bottom-left, the center, the bottom-center, and the bottom-right",X|_|X|X|O|X|O|O|O,4,"top-right, top-left, middle-left, middle-right",4,"bottom-left, center, bottom-center, bottom-right"
399,2,"X has played in the bottom-right, the top-right, the center, and the middle-left, O has played in the bottom-center, the top-left, the middle-right, and the top-center",O|O|X|X|X|O|_|O|X,4,"bottom-right, top-right, center, middle-left",4,"bottom-center, top-left, middle-right, top-center"
400,5,"X marks the top-center, the top-right, and the bottom-center, O marks the middle-left, the middle-right, and the bottom-right",_|X|X|O|_|O|_|X|O,3,"top-center, top-right, bottom-center",3,"middle-left, middle-right, bottom-right"
401,5,"X marks the bottom-center, the bottom-left, the top-right, and the middle-left, O marks the bottom-right, the center, the top-left, and the middle-right",O|_|X|X|O|O|X|X|O,4,"bottom-center, bottom-left, top-right, middle-left",4,"bottom-right, center, top-left, middle-right"
402,1,"X is in the top-right, the bottom-center, the center, and the bottom-left, O is in the middle-right, the middle-left, and the top-center",_|O|X|O|X|O|X|X|_,4,"top-right, bottom-center, center, bottom-left",3,"middle-right, middle-left, top-center"
403,5,"X marks the bottom-left, the middle-left, the bottom-right, and the center, O marks the middle-right, the top-center, and the top-left",O|O|_|X|X|O|X|_|X,4,"bottom-left, middle-left, bottom-right, center",3,"middle-right, top-center, top-left"
404,4,"X is placed in the top-right and bottom-right, O is placed in the bottom-center and top-center",_|O|X|_|_|_|_|O|X,2,"top-right, bottom-right",2,"bottom-center, top-center"
405,5,"X marks the middle-left, the bottom-left, the top-right, the top-left, and the middle-right, O marks the bottom-center, the center, the top-center, and the bottom-right",X|O|X|X|O|X|X|O|O,5,"middle-left, bottom-left, top-right, top-left, middle-right",4,"bottom-center, center, top-center, bottom-right"
406,1,"X is in the bottom-right, the top-center, and the center, O is in the bottom-center and top-left",O|X|_|_|X|_|_|O|X,3,"bottom-right, top-center, center",2,"bottom-center, top-left"
407,1,"X is in the top-right, the middle-right, and the middle-left, O is in the bottom-center, the center, and the top-center",_|O|X|X|O|X|_|O|_,3,"top-right, middle-right, middle-left",3,"bottom-center, center, top-center"
408,3,"X occupies the top-left, the top-center, and the center, O occupies the top-right and bottom-left",X|X|O|_|X|_|O|_|_,3,"top-left, top-center, center",2,"top-right, bottom-left"
409,1,"X is in the bottom-right, the bottom-left, the middle-right, the top-center, and the center, O is in the top-left, the middle-left, the bottom-center, and the top-right",O|X|O|O|X|X|X|O|X,5,"bottom-right, bottom-left, middle-right, top-center, center",4,"top-left, middle-left, bottom-center, top-right"
410,2,"X has played in the bottom-right and middle-left, O has played in the center",_|_|_|X|O|_|_|_|X,2,"bottom-right, middle-left",1,center
411,2,"X has played in the top-right, the top-left, and the bottom-left, O has played in the top-center, the bottom-center, and the middle-left",X|O|X|O|_|_|X|O|_,3,"top-right, top-left, bottom-left",3,"top-center, bottom-center, middle-left"
412,3,"X occupies the top-left and middle-left, O occupies the top-center",X|O|_|X|_|_|_|_|_,2,"top-left, middle-left",1,top-center
413,4,"X is placed in the bottom-center, the middle-left, and the top-center, O is placed in the top-right, the bottom-right, and the top-left",O|X|O|X|_|_|_|X|O,3,"bottom-center, middle-left, top-center",3,"top-right, bottom-right, top-left"
414,5,"X marks the top-right, the bottom-left, the middle-right, the middle-left, and the bottom-right, O marks the top-center, the center, the top-left, and the bottom-center",O|O|X|X|O|X|X|O|X,5,"top-right, bottom-left, middle-right, middle-left, bottom-right",4,"top-center, center, top-left, bottom-center"
415,3,"X occupies the top-center, the top-left, and the center, O occupies the bottom-center and middle-right",X|X|_|_|X|O|_|O|_,3,"top-center, top-left, center",2,"bottom-center, middle-right"
416,3,"X occupies the bottom-right and top-left, O occupies the bottom-center",X|_|_|_|_|_|_|O|X,2,"bottom-right, top-left",1,bottom-center
417,4,"X is placed in the bottom-left, O is placed in the middle-left",_|_|_|O|_|_|X|_|_,1,bottom-left,1,middle-left
418,3,"X occupies the bottom-left, the bottom-right, the center, the top-center, and the top-right, O occupies the top-left, the bottom-center, the middle-right, and the middle-left",O|X|X|O|X|O|X|O|X,5,"bottom-left, bottom-right, center, top-center, top-right",4,"top-left, bottom-center, middle-right, middle-left"
419,2,"X has played in the middle-left, the center, the middle-right, the bottom-left, and the top-right, O has played in the bottom-right, the top-left, the top-center, and the bottom-center",O|O|X|X|X|X|X|O|O,5,"middle-left, center, middle-right, bottom-left, top-right",4,"bottom-right, top-left, top-center, bottom-center"
420,3,"X occupies the center and middle-left, O occupies the bottom-center",_|_|_|X|X|_|_|O|_,2,"center, middle-left",1,bottom-center
421,5,"X marks the middle-left, the center, the top-right, the top-center, and the middle-right, O marks the bottom-right, the bottom-center, the top-left, and the bottom-left",O|X|X|X|X|X|O|O|O,5,"middle-left, center, top-right, top-center, middle-right",4,"bottom-right, bottom-center, top-left, bottom-left"
422,2,"X has played in the top-left, the middle-left, and the top-center, O has played in the middle-right, the center, and the top-right",X|X|O|X|O|O|_|_|_,3,"top-left, middle-left, top-center",3,"middle-right, center, top-right"
423,5,"X marks the bottom-center and bottom-left, O marks the center",_|_|_|_|O|_|X|X|_,2,"bottom-center, bottom-left",1,center
424,3,"X occupies the middle-left, the bottom-center, the bottom-right, the middle-right, and the bottom-left, O occupies the top-left, the center, the top-right, and the top-center",O|O|O|X|O|X|X|X|X,5,"middle-left, bottom-center, bottom-right, middle-right, bottom-left",4,"top-left, center, top-right, top-center"
425,2,"X has played in the top-center, the top-left, the bottom-left, the bottom-right, and the top-right, O has played in the center, the bottom-center, the middle-left, and the middle-right",X|X|X|O|O|O|X|O|X,5,"top-center, top-left, bottom-left, bottom-right, top-right",4,"center, bottom-center, middle-left, middle-right"
426,3,"X occupies the middle-left and bottom-right, O occupies the middle-right",_|_|_|X|_|O|_|_|X,2,"middle-left, bottom-right",1,middle-right
427,4,"X is placed in the top-right, the center, the middle-left, the bottom-left, and the bottom-center, O is placed in the top-left, the middle-right, the top-center, and the bottom-right",O|O|X|X|X|O|X|X|O,5,"top-right, center, middle-left, bottom-left, bottom-center",4,"top-left, middle-right, top-center, bottom-right"
428,3,"X occupies the bottom-center and top-right, O occupies the middle-right and middle-left",_|_|X|O|_|O|_|X|_,2,"bottom-center, top-right",2,"middle-right, middle-left"
429,5,"X marks the top-center, O marks the bottom-right",_|X|_|_|_|_|_|_|O,1,top-center,1,bottom-right
430,4,"X is placed in the top-left, the center, the bottom-right, and the bottom-center, O is placed in the bottom-left, the middle-right, and the top-center",X|O|_|_|X|O|O|X|X,4,"top-left, center, bottom-right, bottom-center",3,"bottom-left, middle-right, top-center"
431,5,"X marks the bottom-left, O marks the middle-left",_|_|_|O|_|_|X|_|_,1,bottom-left,1,middle-left
432,1,"X is in the top-center, the middle-right, the middle-left, the center, and the bottom-center, O is in the bottom-left, the top-left, the top-right, and the bottom-right",O|X|O|X|X|X|O|X|O,5,"top-center, middle-right, middle-left, center, bottom-center",4,"bottom-left, top-left, top-right, bottom-right"
433,1,"X is in the top-left, the top-right, the middle-right, the bottom-right, and the center, O is in the bottom-left, the top-center, the middle-left, and the bottom-center",X|O|X|O|X|X|O|O|X,5,"top-left, top-right, middle-right, bottom-right, center",4,"bottom-left, top-center, middle-left, bottom-center"
434,2,"X has played in the center, the top-left, the top-right, and the bottom-right, O has played in the bottom-center, the middle-right, and the middle-left",X|_|X|O|X|O|_|O|X,4,"center, top-left, top-right, bottom-right",3,"bottom-center, middle-right, middle-left"
435,1,"X is in the top-center, the bottom-right, the bottom-left, the middle-right, and the top-left, O is in the center, the middle-left, the bottom-center, and the top-right",X|X|O|O|O|X|X|O|X,5,"top-center, bottom-right, bottom-left, middle-right, top-left",4,"center, middle-left, bottom-center, top-right"
436,1,"X is in the middle-right, O is in the bottom-left",_|_|_|_|_|X|O|_|_,1,middle-right,1,bottom-left
437,4,"X is placed in the top-right, the bottom-center, the middle-left, and the top-center, O is placed in the bottom-left, the middle-right, and the top-left",O|X|X|X|_|O|O|X|_,4,"top-right, bottom-center, middle-left, top-center",3,"bottom-left, middle-right, top-left"
438,2,"X has played in the bottom-right, the top-center, the center, and the bottom-center, O has played in the top-left, the middle-right, and the middle-left",O|X|_|O|X|O|_|X|X,4,"bottom-right, top-center, center, bottom-center",3,"top-left, middle-right, middle-left"
439,3,"X occupies the bottom-center and middle-right, O occupies the bottom-right and center",_|_|_|_|O|X|_|X|O,2,"bottom-center, middle-right",2,"bottom-right, center"
440,3,"X occupies the top-left, the bottom-left, and the middle-left, O occupies the bottom-right and center",X|_|_|X|O|_|X|_|O,3,"top-left, bottom-left, middle-left",2,"bottom-right, center"
441,3,"X occupies the bottom-right, the middle-right, the top-left, and the bottom-center, O occupies the top-center, the bottom-left, the top-right, and the middle-left",X|O|O|O|_|X|O|X|X,4,"bottom-right, middle-right, top-left, bottom-center",4,"top-center, bottom-left, top-right, middle-left"
